"V1" "V2"
"1" -11.15 -1.07
"2" -13.99 0.14
"3" -10.3 0.14
"4" -12.97 -0.1
"5" -12.64 -1.45
"6" -10.73 -1.01
"7" -15.31 -0.61
"8" -15.86 -0.42
"9" -15.48 -0.32
"10" -14.38 0.14
"11" -14.05 -0.05
"12" -12.86 -1.01
"13" -16.17 0.13
"14" -13.96 -0.91
"15" -9.69 -1.04
"16" -14.11 -0.43
"17" -13.07 -0.25
"18" -14.35 -0.94
"19" -14.19 -0.45
"20" -16.69 -0.56
"21" -17.43 0.54
"22" -15.44 -0.31
"23" -13.73 -0.6
"24" -11.87 -0.97
"25" -10.74 -0.52
"26" -14.98 -1.03
"27" -13.18 -1.04
"28" -13.13 0.21
"29" -15.65 -0.77
"30" -18.39 1.36
"31" -8.48 -0.06
"32" -15.78 -0.06
"33" -14.71 -0.36
"34" -17.54 0.04
"35" -12.07 0.79
"36" -12.45 -0.36
"37" -13.08 0.06
"38" -15.68 -0.72
"39" -16.8 0.06
"40" -13.32 -0.1
"41" -15.51 -0.39
"42" -13.59 -0.34
"43" -15.94 0.59
"44" -17.93 -0.06
"45" -12.56 -1.26
"46" -13.68 -0.95
"47" -12.63 -0.62
"48" -15.09 -0.63
"49" -13.07 -0.72
"50" -18.98 0.15
"51" -14.2 -1.17
"52" -11.98 -1.15
"53" -12.61 -0.56
"54" -17.71 0.03
"55" -12 0.01
"56" -15.85 1.1
"57" -9.86 -0.13
"58" -15.63 0.5
"59" -18.6 1.35
"60" -13.93 -0.06
"61" -13.66 -1.32
"62" -15.68 0.73
"63" -14.63 -0.17
"64" -12.47 -1.05
"65" -12.13 0.08
"66" -14.69 -0.35
"67" -15.23 -0.41
"68" -15.36 -0.27
"69" -13.12 0.23
"70" -18.41 0.73
"71" -12.1 -1.15
"72" -15.98 -0.06
"73" -14.49 0.96
"74" -19.53 1.78
"75" -14.19 -0.13
"76" -15.91 -0.43
"77" -16.95 0.89
"78" -14.58 -1.12
"79" -17.15 -0.08
"80" -12.53 -0.9
"81" -14.98 -0.63
"82" -13.99 -0.92
"83" -10.3 -0.97
"84" -14.74 -0.75
"85" -18.73 0.93
"86" -14.13 -1.11
"87" -11.75 1.78
"88" -16.41 1
"89" -14.96 -0.04
"90" -12.57 -1.75
"91" -13.88 -1.17
"92" -14.77 -0.32
"93" -15.73 -0.19
"94" -14.76 0.08
"95" -12.83 0.13
"96" -13.71 0.05
"97" -18.86 -0.24
"98" -12.66 -1.23
"99" -13.77 -0.95
"100" -15.88 -0.17
"101" -14.35 -0.24
"102" -13.26 -1.12
"103" -12.85 -0.29
"104" -13.77 -0.75
"105" -14.34 -0.95
"106" -14.6 -0.13
"107" -13.47 -0.66
"108" -19.14 0.07
"109" -15.28 -0.25
"110" -17.64 0.33
"111" -17.25 0.26
"112" -14.11 -1.22
"113" -13.55 -1.31
"114" -12.89 -0.65
"115" -17.33 -0.06
"116" -15.21 0.15
"117" -14.01 -0.38
"118" -14.2 -0.51
"119" -17.12 1.18
"120" -11.9 -1.06
"121" -16.06 -0.24
"122" -13.11 -0.79
"123" -8.47 -0.94
"124" -18.95 1.39
"125" -15.59 -0.17
"126" -17.87 -0.11
"127" -12.32 -0.44
"128" -14.41 -1.18
"129" -18.92 0.48
"130" -13.7 -1.23
"131" -17.13 0
"132" -15.14 0.53
"133" -18.47 -0.05
"134" -15.39 -0.41
"135" -15.12 -0.47
"136" -17.98 -0.7
"137" -16.52 -0.27
"138" -13.1 -0.07
"139" -15.46 0.11
"140" -16.56 2.56
"141" -17.08 -0.11
"142" -13.52 -0.53
"143" -17.82 1.37
"144" -15.76 -0.04
